Billing - Callback,Ignore
Billing - COAX Fixed,Billing - DSL TV
Billing - COAX invoice questions,Billing - DSL TV
Billing - COAX Payment modifications,Billing - DSL TV
Billing - COAX Payments,Billing - DSL TV
Billing - COAX TV,Billing - DSL TV
Billing - DSL Fixed,Billing - DSL TV
Billing - DSL Invoice questions,Billing - DSL TV
Billing - DSL Payment modifications,Billing - DSL TV
Billing - DSL Payments,Billing - DSL TV
Billing - DSL TV,Billing - DSL TV
Billing - eChat,Ignore
Billing - KASS,Billing - KASS
Billing - MBB,Billing - DSL TV
Billing - MBB mBilling,Billing - DSL TV
Billing - Mobile mBilling,Billing - DSL TV
Tech Support - Backend,Ignore
Tech Support - Callback,Ignore
Tech Support - COAX 3. level,Tech Support - COAX 3. level
Tech Support - COAX TV,Tech Support - COAX TV
Tech Support - DSL TV,Tech Support - DSL TV
Tech Support - DSL 3. level,Tech Support - DSL 3. level
Tech Support - eChat,Ignore
Tech Support - Follow-up EOC,Ignore
Tech Support - KASS,Tech Support - KASS
Tech Support - MBB,Tech Support - DSL TV
Tech Support - MBB mBilling,Tech Support - DSL TV
Tech Support - Mobile mBilling,Tech Support - DSL TV
Tech Support - Sitel follow-up,Ignore
Customer Service - Inkasso mBilling,Customer Service - Inkasso mBilling
Customer Service - Callback,Ignore
Customer Service - COAX,Customer Service - COAX TV
Customer Service - COAX Broadband,Customer Service - COAX TV
Customer Service - COAX Fixed,Customer Service - COAX TV
Customer Service - COAX TV,Customer Service - COAX TV
Customer Service - DSL,Customer Service - DSL TV
Customer Service - DSL Broadband,Customer Service - DSL TV
Customer Service - DSL Fixed,Customer Service - DSL TV
Customer Service - DSL TV,Customer Service - DSL TV
Customer Service - eChat,Ignore
Customer Service - FH Support,Customer Service - FH Support
Customer Service - Fiber,Customer Service - Fiber
Customer Service - Inkasso,Customer Service - Inkasso
Customer Service - Inkasso - Urgent,Customer Service - Inkasso - Urgent
Customer Service - Letter,
Customer Service - MBB,Customer Service - DSL TV
Customer Service - MBB mBilling,Customer Service - DSL TV
Customer Service - mBilling,Customer Service - DSL TV
Customer Service - Mobile,Customer Service - DSL TV
Customer Service - Mobile mbilling,Customer Service - DSL TV
Customer Service - NABS/Prepaid,
Customer Service - Specific,Ignore
